,Date, Delivered , Opened ,Advertiser,Ad Type,Clicks
,,,,Gartner Digital Markets,Text-With-Image,18
,4/7/2026," 24,304 "," 4,260 ",SMU,Leaderboard,19
,,,,Gartner Digital Markets,Text-With-Image,12
,4/10/2026," 28,934 "," 5,816 ",SME 30 Under 30,Leaderboard,6
,,,,IMCO Carbide,Text-With-Image,12
,,,,Gartner Digital Markets,Text-With-Image,9
,4/14/2026," 29,065 "," 4,418 ",SME 30 Under 30,Leaderboard,7
,,,,CITGO Petroleum Corporation,Text-With-Image,8
,,,,Gartner Digital Markets,Text-With-Image,12
,,,,Greenleaf,Text-With-Image,6
,,,,Spectrum Advance,Text-With-Image,12
,4/17/2026," 29,013 "," 5,270 ",SME 30 Under 30,Leaderboard,9
,,,,Gartner Digital Markets,Text-With-Image,19
,,,,Scientific Cutting Tools,Text-With-Image,30
,4/21/2026," 33,660 "," 5,055 ",Renishaw,Leaderboard,3
,,,,Scientific Cutting Tools,Text-With-Image,15
,,,,IMCO Carbide,Text-With-Image,7
,,,,Gartner Digital Markets,Text-With-Image,20
,4/24/2026," 33,626 "," 5,513 ",SME Webinars,Leaderboard,4
,,,,Gartner Digital Markets,Text-With-Image,40
,4/28/2026," 38,235 "," 3,729 ",Marposs ,Leaderboard,7
,,,,Gartner Digital Markets,Text-With-Image,19
,,,,,,
May,5/1/2026," 38,162 "," 3,979 ",SME Webinars,Leaderboard,4
,,,,Gartner Digital Markets,Text-With-Image,7
,,,,Castrol,Text-With-Image,2
,,,,Spectrum Advance,Text-With-Image,5
,5/5/2026," 38,152 "," 1,951 ",FABTECH,Leaderboard,2
,,,,CITGO Petroleum Corporation,Text-With-Image,4
,,,,IMCO Carbide,Text-With-Image,2
,,,,Gartner Digital Markets,Text-With-Image,15
,,,,Greenleaf,Text-With-Image,4
,5/8/2026," 15,843 "," 4,851 ",FABTECH,Leaderboard,0
,,,,Gartner Digital Markets,Text-With-Image,8
,,,,Spectrum Advance,Text-With-Image,5
,,,,EMUGE,Text-With-Image,12
,5/12/2026," 14,431 "," 4,428 ",FABTECH,Leaderboard,2
,,,,Designfusion,Text-With-Image,5
,,,,Gartner Digital Markets,Text-With-Image,13
,,,,Hubbell,Medium Rectangle,1
,5/15/2026," 57,147 "," 5,377 ",FABTECH,Leaderboard,5
,,,,Gartner Digital Markets,Text-With-Image,8
,,,,Hubbell,Medium Rectangle,2
,5/19/2026," 57,014 "," 2,325 ",Renishaw,Leaderboard,3
,,,,Scientific Cutting Tools,Text-With-Image,6
,,,,IMCO Carbide,Text-With-Image,6
,,,,Gartner Digital Markets,Text-With-Image,16
,5/22/2026," 56,930 "," 2,196 ",SME Webinars,Leaderboard,7
,,,,Gartner Digital Markets,Text-With-Image,11
,5/26/2026," 56,861 "," 4,282 ",FABTECH,Leaderboard,5
,5/29/2026," 56,699 "," 2,581 ",SME Webinars,Leaderboard,3
,,,,Castrol,Text-With-Image,7
,,,,,,
JUNE,6/2/2026," 56,498 "," 2,270 ",SME Webinars,Leaderboard,3
,,,,IMCO Carbide,Text-With-Image,8
,,,,OPEN MIND,Text-With-Image,8
,,,,Gartner Digital Markets,Text-With-Image,12
,6/5/2026," 34,834 "," 2,626 ",FABTECH,Leaderboard,2
,,,,OPEN MIND,Text-With-Image,32
,,,,43North,Text-With-Image,11
,,,,Gartner Digital Markets,Text-With-Image,4
,6/9/2026," 34,789 "," 2,588 ",FABTECH,Leaderboard,9
,,,,CITGO Petroleum Corporation,Text-With-Image,19
,,,,Hubbell,Medium Rectangle,4
,,,,Gartner Digital Markets,Text-With-Image,24
,6/12/2026," 34,734 "," 3,615 ",Marposs,Leaderboard,4
,,,,Hubbell,Medium Rectangle,3
,,,,Gartner Digital Markets,Text-With-Image,22
,6/16/2026," 34,715 "," 34,655 ",FABTECH,Leaderboard,1
,,,,Scientific Cutting Tools,Text-With-Image,4
,,,,Gartner Digital Markets,Text-With-Image,21
,,,,IMCO Carbide,Text-With-Image,2
,6/19/2026,,,,Leaderboard,
,,,,Gartner Digital Markets,Text-With-Image,
,,,,Designfusion,Text-With-Image,
,6/23/2026,,,Renishaw,Leaderboard,
,,,,Gartner Digital Markets,Text-With-Image,
,6/26/2026,,,,Leaderboard,
,,,,Garnter Digital Markets,Text-With-Image,
,6/30/2026,,,,Leaderboard,
,,,,CITGO Petroleum Corporation,Text-With-Image,
,,,,Garnter Digital Markets,Text-With-Image,
